w	LED 2700 K	w	LED 4100 K			
299	0.00338135250209628	299.357513427734	-0.00602268474176526			
300	0.0035552844744566	300.172668457031	-0.00586400553584099			
301	0.0031681806174381	300.987823486328	-0.00286343647167087			
302	0.00249555232830019	301.802978515625	0.0112167978659272			
303	0.00247988437672799	302.618133544922	1.01386876324994E-11			
304	0.00346106243192058	303.433288574219	0.00815652869641781			
305	0.0020524498685779	304.248443603516	-0.00268253334797919			
306	0.00426752638664822	305.063598632813	-0.0132220722734928			
307	0.00138783889516289	305.878753662109	9.58375826615177E-12			
308	0.00286200967753696	306.693908691406	-0.00515148416161537			
309	0.00230897546100525	307.509063720703	-6.53645054748964E-11			
310	0.00244934510294659	308.32421875	-0.00502629717811942			
311	0.00192510543694727	309.139373779297	-0.00249045132659376			
312	0.00183981565605277	309.954528808594	0.00245833769440651			
313	0.00306452886788386	310.769683837891	-0.00243040430359542			
314	0.00264234985542015	311.584838867188	-0.00481048272922635			
315	0.00135990179075054	312.399993896484	-0.00474252365529537			
316	0.00324019923492949	313.215148925781	8.61293675269437E-12			
317	9.8749064677863E-4	314.030303955078	-0.00231677386909723			
318	0.0017757323818765	314.845458984375	0.0045718140900135			
319	0.00256809591934081	315.660614013672	8.30871135781841E-12			
320	0.00169407621702347	316.475769042969	0.00894104223698378			
321	0.00323146907875053	317.290924072266	-0.00441484898328781			
322	7.72273974938533E-4	318.106079101563	-0.00872685667127371			
323	0.00271276851254888	318.921264648438	0.00215492607094347			
324	0.00196685106049855	319.736419677734	-0.0063859298825264			
325	0.00235665239874382	320.551574707031	-0.00210148096084595			
326	0.00165081611239433	321.366729736328	-0.0103768091648817			
327	0.0021512322182734	322.181884765625	-0.00410535745322704			
328	0.00171442251229686	322.997039794922	-0.00406770221889019			
329	0.00168729051905231	323.812194824219	0.006041354034096			
330	0.00222852496419609	324.627349853516	-0.00199217512272298			
331	0.00278882011996789	325.442504882813	-0.00197650818154216			
332	0.00176545789917598	326.257659912109	7.18370415236924E-12			
333	0.00210109253090657	327.072814941406	0.0038849450647831			
334	0.00178867032589172	327.887969970703	-0.00577936600893736			
335	0.00189167581736274	328.703125	-0.00382174318656325			
336	8.84586442455967E-4	329.518280029297	6.96808019270967E-12			
337	0.00224224425604868	330.333435058594	-0.00376629736274481			
338	0.00115453924385939	331.148590087891	-0.00374103058129549			
339	0.00223377627304514	331.963745117188	-0.00185851368587464			
340	9.17698868816148E-4	332.778900146484	-0.00924255885183811			
341	0.00278983961854327	333.594055175781	-0.00550468685105443			
342	0.00176738753581438	334.409210205078	-0.0018227300606668			
343	0.00100994380421437	335.224365234375	-0.0108638945966959			
344	0.00209892420517631	336.039520263672	6.61087590919651E-12			
345	0.00231215027932541	336.854675292969	0.00178597401827574			
346	0.00200664477848224	337.669830322266	0.00177897454705089			
347	0.0016373659110693	338.484985351563	0.00530100055038929			
348	0.00117664982603345	339.300170898438	-0.00526203634217381			
349	0.00282449876315821	340.115325927734	-0.00348837650381029			
350	0.0020682560965269	340.930480957031	-0.00346870999783278			
351	0.00231792776531108	341.745635986328	0.00172887404914945			
352	0.00150796275443878	342.560791015625	0.00689471373334527			
353	0.00213773479165291	343.375946044922	0.00343538983725011			
354	0.00111953285657867	344.191101074219	-0.00684844143688679			
355	0.00173493780796884	345.006256103516	0.00513266772031784			
356	0.00272428735541232	345.821411132813	0.00342403957620263			
357	0.00250590777664325	346.636566162109	0.0051241316832602			
358	0.00405155182830732	347.451721191406	-0.0017104510916397			
359	0.00200041044506205	348.266876220703	6.29430405366116E-12			
360	0.00162550801963593	349.08203125	0.00686608580872417			
361	0.00271309681001499	349.897186279297	0.0137728098779917			
362	7.72942471093964E-4	350.712341308594	0.0069145206362009			
363	0.00259605319342788	351.527496337891	-1.01988098522021E-10			
364	0.00228077855172173	352.342651367188	0.00347723998129368			
365	0.00155854597470722	353.157806396484	6.4055917688155E-12			
366	0.00243542744914431	353.972961425781	0.00349682033993304			
367	0.00244387093361088	354.788116455078	-1.02979909322176E-10			
368	0.00322885070039852	355.603271484375	0.00351945264264941			
369	0.0016541687180463	356.418426513672	0.00705691799521446			
370	0.00234870480415558	357.233581542969	-0.00177205726504326			
371	0.00320671952581287	358.048736572266	0.00710396515205503			
372	0.00211382428982219	358.863891601563	-0.00177968468051404			
373	0.00230550021269359	359.679077148438	0.0124918185174465			
374	0.00209352786152066	360.494232177734	0.00714641343802214			
375	0.00238687392894676	361.309387207031	0.0017814802704379			
376	0.00189402748266101	362.124542236328	0.00713222660124302			
377	0.00231304856614512	362.939697265625	0.00356612540781498			
378	0.00218290669561115	363.754852294922	-1.04250580390541E-10			
379	0.00246975745069421	364.570007324219	0.00176903884857893			
380	0.00241657883912602	365.383666992188	0.00879862159490585			
381	0.00295623127182175	366.197357177734	0.0140772517770529			
382	0.00234446823779642	367.011016845703	0.00696924421936274			
383	0.00173769927012731	367.82470703125	0.0034675607457757			
384	0.00209814074873249	368.638366699219	-1.01288540055311E-10			
385	0.00277819398359343	369.452026367188	0.00513137970119715			
386	0.00209868875193572	370.265716552734	0.00850970484316349			
387	0.00227981335936351	371.079376220703	0.00675037363544106			
388	0.00237414571795776	371.89306640625	0.0116588780656457			
389	0.00282556433794071	372.706726074219	0.00661662453785539			
390	0.00230781776307556	373.520416259766	0.00491916015744209			
391	0.00219051544741935	374.334075927734	0.00815567653626204			
392	0.00192797842715288	375.147766113281	0.00483713485300541			
393	0.00227999058927592	375.96142578125	0.00320216827094555			
394	0.00219801904295734	376.775115966797	0.00316953333094716			
395	0.00254183592301926	377.588775634766	-0.00157116237096488			
396	0.00175856712153188	378.402435302734	0.0108756562694907			
397	0.00224666567708974	379.216125488281	0.00770229659974575			
398	0.00303004000076012	380.02978515625	0.00304541341029108			
