w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
386	43.053768	386	52.146936
386.5	42.881832	386.5	51.865704
387	42.709896	387	51.584472
387.5	42.53796	387.5	51.30324
388	42.366024	388	51.022008
388.5	42.194088	388.5	50.740776
389	42.022152	389	50.459544
389.5	41.850216	389.5	50.178312
390	41.67828	390	49.89708
390.5	41.63211	390.5	49.788324
391	41.58594	391	49.679568
391.5	41.53977	391.5	49.570812
392	41.4936	392	49.462056
392.5	41.44743	392.5	49.3533
393	41.40126	393	49.244544
393.5	41.35509	393.5	49.135788
394	41.30892	394	49.027032
394.5	41.26275	394.5	48.918276
395	41.21658	395	48.80952
395.5	41.17041	395.5	48.700764
396	41.12424	396	48.592008
396.5	41.07807	396.5	48.483252
397	41.0319	397	48.374496
397.5	40.98573	397.5	48.26574
398	40.93956	398	48.156984
398.5	40.89339	398.5	48.048228
399	40.84722	399	47.939472
399.5	40.80105	399.5	47.830716
400	40.75488	400	47.72196
401	40.79592	401	47.737296
402	40.83696	402	47.752632
403	40.878	403	47.767968
404	40.91904	404	47.783304
405	40.96008	405	47.79864
406	41.00112	406	47.813976
407	41.04216	407	47.829312
408	41.0832	408	47.844648
409	41.12424	409	47.859984
410	41.16528	410	47.87532
411	41.379876	411	48.201804
412	41.594472	412	48.528288
413	41.809068	413	48.854772
414	42.023664	414	49.181256
415	42.23826	415	49.50774
416	42.452856	416	49.834224
417	42.667452	417	50.160708
418	42.882048	418	50.487192
419	43.096644	419	50.813676
420	43.31124	420	51.14016
421	43.611912	421	51.670116
422	43.912584	422	52.200072
423	44.213256	423	52.730028
424	44.513928	424	53.259984
425	44.8146	425	53.78994
426	45.115272	426	54.319896
427	45.415944	427	54.849852
428	45.716616	428	55.379808
429	46.017288	429	55.909764
430	46.31796	430	56.43972
431	46.564848	431	56.963736
432	46.811736	432	57.487752
433	47.058624	433	58.011768
434	47.305512	434	58.535784
435	47.5524	435	59.0598
436	47.799288	436	59.583816
437	48.046176	437	60.107832
438	48.293064	438	60.631848
439	48.539952	439	61.155864
440	48.78684	440	61.67988
441	49.042368	441	62.18478
442	49.297896	442	62.68968
443	49.553424	443	63.19458
444	49.808952	444	63.69948
445	50.06448	445	64.20438
446	50.320008	446	64.70928
447	50.575536	447	65.21418
448	50.831064	448	65.71908
449	51.086592	449	66.22398
450	51.34212	450	66.72888
451	51.622704	451	66.991212
452	51.903288	452	67.253544
453	52.183872	453	67.515876
454	52.464456	454	67.778208
455	52.74504	455	68.04054
456	53.025624	456	68.302872
457	53.306208	457	68.565204
458	53.586792	458	68.827536
459	53.867376	459	69.089868
460	54.14796	460	69.3522
461	54.36126	461	69.585048
462	54.57456	462	69.817896
463	54.78786	463	70.050744
464	55.00116	464	70.283592
465	55.21446	465	70.51644
466	55.42776	466	70.749288
467	55.64106	467	70.982136
468	55.85436	468	71.214984
469	56.06766	469	71.447832
470	56.28096	470	71.68068
471	56.380428	471	71.832744
472	56.479896	472	71.984808
473	56.579364	473	72.136872
474	56.678832	474	72.288936
475	56.7783	475	72.441
476	56.877768	476	72.593064
477	56.977236	477	72.745128
478	57.076704	478	72.897192
479	57.176172	479	73.049256
480	57.27564	480	73.20132
481	57.4614	481	73.310508
482	57.64716	482	73.419696
483	57.83292	483	73.528884
484	58.01868	484	73.638072
485	58.20444	485	73.74726
486	58.3902	486	73.856448
487	58.57596	487	73.965636
488	58.76172	488	74.074824
489	58.94748	489	74.184012
490	59.13324	490	74.2932
491	59.405832	491	74.394072
492	59.678424	492	74.494944
493	59.951016	493	74.595816
494	60.223608	494	74.696688
495	60.4962	495	74.79756
496	60.768792	496	74.898432
497	61.041384	497	74.999304
498	61.313976	498	75.100176
499	61.586568	499	75.201048
500	61.85916	500	75.30192
501	62.22582	501	75.421476
502	62.59248	502	75.541032
503	62.95914	503	75.660588
504	63.3258	504	75.780144
505	63.69246	505	75.8997
506	64.05912	506	76.019256
507	64.42578	507	76.138812
508	64.79244	508	76.258368
509	65.1591	509	76.377924
510	65.52576	510	76.49748
511	65.79711	511	76.537494
512	66.06846	512	76.577508
513	66.33981	513	76.617522
514	66.61116	514	76.657536
515	66.88251	515	76.69755
516	67.15386	516	76.737564
517	67.42521	517	76.777578
518	67.69656	518	76.817592
519	67.96791	519	76.857606
520	68.23926	520	76.89762
521	68.51061	521	76.937634
522	68.78196	522	76.977648
523	69.05331	523	77.017662
524	69.32466	524	77.057676
525	69.59601	525	77.09769
526	69.86736	526	77.137704
527	70.13871	527	77.177718
528	70.41006	528	77.217732
529	70.68141	529	77.257746
530	70.95276	530	77.29776
531	71.169192	531	77.37768
532	71.385624	532	77.4576
533	71.602056	533	77.53752
534	71.818488	534	77.61744
535	72.03492	535	77.69736
536	72.251352	536	77.77728
537	72.467784	537	77.8572
538	72.684216	538	77.93712
539	72.900648	539	78.01704
540	73.11708	540	78.09696
541	73.197972	541	78.14826
542	73.278864	542	78.19956
543	73.359756	543	78.25086
544	73.440648	544	78.30216
545	73.52154	545	78.35346
546	73.602432	546	78.40476
547	73.683324	547	78.45606
548	73.764216	548	78.50736
549	73.845108	549	78.55866
550	73.926	550	78.60996
551	73.924812	551	78.621408
552	73.923624	552	78.632856
553	73.922436	553	78.644304
554	73.921248	554	78.655752
555	73.92006	555	78.6672
556	73.918872	556	78.678648
557	73.917684	557	78.690096
558	73.916496	558	78.701544
559	73.915308	559	78.712992
560	73.91412	560	78.72444
561	73.81152	561	78.674328
562	73.70892	562	78.624216
563	73.60632	563	78.574104
564	73.50372	564	78.523992
565	73.40112	565	78.47388
566	73.29852	566	78.423768
567	73.19592	567	78.373656
568	73.09332	568	78.323544
569	72.99072	569	78.273432
570	72.88812	570	78.22332
571	72.717912	571	78.161436
572	72.547704	572	78.099552
573	72.377496	573	78.037668
574	72.207288	574	77.975784
575	72.03708	575	77.9139
576	71.866872	576	77.852016
577	71.696664	577	77.790132
578	71.526456	578	77.728248
579	71.356248	579	77.666364
580	71.18604	580	77.60448
581	71.057088	581	77.537304
582	70.928136	582	77.470128
583	70.799184	583	77.402952
584	70.670232	584	77.335776
585	70.54128	585	77.2686
586	70.412328	586	77.201424
587	70.283376	587	77.134248
588	70.154424	588	77.067072
589	70.025472	589	76.999896
590	69.89652	590	76.93272
591	69.791112	591	76.910256
592	69.685704	592	76.887792
593	69.580296	593	76.865328
594	69.474888	594	76.842864
595	69.36948	595	76.8204
596	69.264072	596	76.797936
597	69.158664	597	76.775472
598	69.053256	598	76.753008
599	68.947848	599	76.730544
