wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
355,50.8032,0.687216946676406,712.6
355.5,50.974056,0.689528122717312,712.6
356,51.144912,0.691839298758218,712.6
356.5,51.315768,0.694150474799123,712.6
357,51.486624,0.696461650840029,712.6
357.5,51.65748,0.698772826880935,712.6
358,51.828336,0.701084002921841,712.6
358.5,51.999192,0.703395178962747,712.6
359,52.170048,0.705706355003652,712.6
359.5,52.340904,0.708017531044558,712.6
360,52.51176,0.710328707085464,712.6
360.5,52.376112,0.708493791088386,712.6
361,52.240464,0.706658875091307,712.6
361.5,52.104816,0.704823959094229,712.6
362,51.969168,0.702989043097151,712.6
362.5,51.83352,0.701154127100073,712.6
363,51.697872,0.699319211102995,712.6
363.5,51.562224,0.697484295105917,712.6
364,51.426576,0.695649379108839,712.6
364.5,51.290928,0.69381446311176,712.6
365,51.15528,0.691979547114682,712.6
365.5,51.019632,0.690144631117604,712.6
366,50.883984,0.688309715120526,712.6
366.5,50.748336,0.686474799123448,712.6
367,50.612688,0.684639883126369,712.6
367.5,50.47704,0.682804967129292,712.6
368,50.341392,0.680970051132213,712.6
368.5,50.205744,0.679135135135135,712.6
369,50.070096,0.677300219138057,712.6
369.5,49.934448,0.675465303140979,712.6
370,49.7988,0.673630387143901,712.6
370.5,49.56471,0.670463842220599,712.6
371,49.33062,0.667297297297297,712.6
371.5,49.09653,0.664130752373996,712.6
372,48.86244,0.660964207450694,712.6
372.5,48.62835,0.657797662527392,712.6
373,48.39426,0.654631117604091,712.6
373.5,48.16017,0.651464572680789,712.6
374,47.92608,0.648298027757487,712.6
374.5,47.69199,0.645131482834185,712.6
375,47.4579,0.641964937910884,712.6
375.5,47.22381,0.638798392987582,712.6
376,46.98972,0.63563184806428,712.6
376.5,46.75563,0.632465303140979,712.6
377,46.52154,0.629298758217677,712.6
377.5,46.28745,0.626132213294376,712.6
378,46.05336,0.622965668371074,712.6
378.5,45.81927,0.619799123447772,712.6
379,45.58518,0.61663257852447,712.6
379.5,45.35109,0.613466033601169,712.6
380,45.117,0.610299488677867,712.6
380.5,44.945064,0.607973703433163,712.6
381,44.773128,0.605647918188459,712.6
381.5,44.601192,0.603322132943754,712.6
382,44.429256,0.60099634769905,712.6
382.5,44.25732,0.598670562454346,712.6
