w	LED 2700 K Cui	w	LED 6500 K Cui
400.007	2.33333333333333E-5	389.757169541809	0
400.379	-7.33333333333334E-5	405.511796191941	0
400.75	6.95E-4	418.331737485677	0
401.121	-4.55E-4	422.810994082283	0.0288573540723869
401.492	-5.28333333333333E-4	426.715177204757	0.0579602454020423
401.863	-3.15E-4	429.607107539203	0.0967288039080527
402.234	4.5E-4	432.430943129636	0.139106787191665
402.605	7.05E-4	434.902625691746	0.19720392216945
402.976	5.96666666666667E-4	436.403220996123	0.247308718194623
403.347	4.75E-4	437.947792236332	0.285506138799812
403.718	9.21666666666667E-4	439.33790635252	0.334752400075923
404.089	9.4E-4	440.110191972625	0.37484390765327
404.46	1.05E-4	441.654763212834	0.424090168929381
404.831	5.31666666666667E-4	442.826278105766	0.465098890336164
405.202	2.66666666666667E-4	443.199334453043	0.502379097111917
405.573	0.00108833333333333	443.817162949127	0.539313793069
405.943	3.3E-4	444.789355940186	0.579255733708142
406.314	3.75E-4	445.407276580714	0.619039641355973
406.685	2.23333333333333E-4	445.870717061109	0.656613331912257
407.055	-4.45E-4	446.906305429545	0.694628924785966
407.426	8.33333333333328E-6	447.678591049649	0.734404751201287
407.797	-8.16666666666667E-5	448.450876669754	0.772917852968502
408.167	-9E-5	448.697399824143	0.809331203507217
408.538	8.83333333333334E-5	449.223162289858	0.846787244882668
408.908	2.35833333333333E-4	449.778922245949	0.885441283758799
409.279	1.33611111111111E-4	450.613276406047	0.92191936144494
409.649	1.36944444444444E-4	451.941967089562	0.958077459932507
410.02	1.21944444444445E-4	453.702418886465	0.997367159169239
410.39	-7.83333333333333E-5	455.864818622757	0.971165622721052
410.76	-6.94444444444445E-6	457.611209231132	0.930364505965188
411.131	-1.49238611111111E-4	458.181675483071	0.892876694538516
411.501	2.77777777777779E-6	458.181675483071	0.854363592771301
411.871	9.77777777777778E-5	459.72624672328	0.81458776635598
412.241	5.19444444444445E-5	460.498532343385	0.782072606667266
412.612	-1.5E-5	461.473213234428	0.72260409935985
412.982	0.00124833333333333	462.660932079677	0.673162605768174
413.352	0.00106833333333333	463.790415636407	0.609567282392203
413.722	-1.98333333333333E-4	465.180737077593	0.556522072195096
414.092	4.03333333333334E-4	466.5223601802	0.513112256620813
414.462	-8.82276666666667E-4	469.969622041681	0.449800161203296
414.832	-1.83333333333333E-4	471.773902396911	0.410200197800222
415.202	0.00100833333333333	473.831626044978	0.367074892919711
415.572	1.55E-4	476.303308607088	0.326975239973088
415.942	0.00482	478.570015853831	0.294976573660603
416.312	-0.00285	481.710114211704	0.266352142604965
416.682	0.00526	485.21167218673	0.261198689323783
417.051	0.0035	488.81620157777	0.26698363320255
417.421	0.00370784801789382	496.076769103968	0.297295181886611
417.791	0.00612846581628545	503.028376309902	0.355076571565604
418.161	0.00814524668306854	509.306983533992	0.391575009240667
418.53	0.00958031006503457	516.103096990912	0.424090168929381
418.9	0.0119420349775666	524.964559048628	0.45990401076465
419.269	0.0140020840870221	538.249852819969	0.479795964588565
419.639	0.0163842412252605	550.701492771595	0.488489125982757
420.009	0.019026007819533	564.974920522784	0.487058106460788
420.378	0.0203228532040735	577.487813493465	0.477270002198227
420.748	0.0227362596286864	590.551430768989	0.453132835835806
421.117	0.0262962744841163	600.814317673378	0.420120103116819
421.486	0.0278166724557973	609.928647121159	0.389808554432758
421.856	0.0307841527657421	619.815377369599	0.350340392083719
422.225	0.0326170436011678	625.067702814082	0.319397352802073
422.594	0.03463863205047	634.262796866906	0.276351385101048
422.964	0.0378669237120787	640.286624703722	0.247308718194623
423.333	0.0416937593973215	645.538166920433	0.217950370126172
423.702	0.0441792795597216	652.719651477688	0.186468582010512
424.071	0.0469087845349686	662.837364810774	0.145659384022138
424.441	0.0494111312361857	671.795878003987	0.115038311305581
424.81	0.0531201811497093	682.298962437409	0.0844172385890249
425.179	0.056195832066335	692.730012951843	0.0589074812984194
425.548	0.0587919266266756	705.551866242788	0.0364895650841655
425.917	0.061100768131497	721.463322736371	0.0169133565590425
426.286	0.0651944246465525	738.456140350877	0.00238907281459633
426.655	0.0692616394577528	752.26803961888	0
427.024	0.0736653850452934	770.339523129327	0
427.393	0.0775222681212809	789.183292259877	0
427.761	0.0798226963566938	810.961746746825	0
428.13	0.083358673299528		
428.499	0.0870220511791197		
428.868	0.0890736870191666		
429.236	0.0932791198277924		
429.605	0.0965182285500692		
429.974	0.0995289771026864		
430.342	0.104465162454223		
430.711	0.107897776372895		
431.08	0.113073138954759		
431.448	0.11894680289753		
431.817	0.124632971122054		
432.185	0.128250676967713		
432.553	0.133727715352654		
432.922	0.137472822135071		
433.29	0.142675828316421		
433.659	0.146872847855638		
434.027	0.152728483363962		
434.395	0.156869013808579		
434.763	0.163718617002737		
435.132	0.167418051751222		
435.5	0.173689543147452		
435.868	0.179398547388942		
436.236	0.185138800916806		
436.604	0.190571369163445		
436.972	0.197398136340636		
437.34	0.202952096045884		
437.708	0.210081740921782		
438.076	0.217051533678918		
438.444	0.225892677931634		
438.812	0.233416544574102		
439.179	0.242834598729116		
439.547	0.249969051187533		
439.915	0.256900383284516		
440.283	0.263611768481249		
440.65	0.272257003746309		
441.018	0.280301291196475		
441.386	0.290113567118059		
441.753	0.299223935991846		
442.121	0.306980970386494		
442.488	0.316536040643303		
442.856	0.326793017947907		
443.223	0.334214723461844		
443.591	0.339540322997432		
443.958	0.344835875142274		
444.326	0.350910255655219		
444.693	0.359994182825152		
445.06	0.367284881715442		
445.427	0.369280028460889		
445.795	0.370162219853152		
446.162	0.371832854778557		
